add-yield-none,8,100000,1600000,596641000,372,-240
add-yield-none,12,10,240,40745000,169770,-1
add-yield-none,12,20,480,1157000,2410,7
add-yield-none,12,40,960,1577000,1642,5
add-yield-none,12,80,1920,13690000,7130,5
add-yield-none,12,100,2400,11323000,4717,4
add-yield-none,12,1000,24000,93602000,3900,1
add-yield-none,12,10000,240000,-597515000,-2489,-6
add-yield-none,12,100000,2400000,166797000,69,-106
add-yield-m,2,10000,40000,54912000,1372,0
add-yield-c,2,10000,40000,68878000,1721,0
add-yield-s,2,1000,4000,13907000,3476,0
add-yield-m,4,10000,80000,-350785000,-4384,0
add-yield-c,4,10000,80000,242643000,3033,0
add-yield-s,4,1000,8000,-388823000,-48602,0
add-yield-m,8,10000,160000,318316000,1989,0
add-yield-c,8,10000,160000,-425033000,-2656,0
add-yield-s,8,1000,16000,160213000,10013,0
add-yield-m,12,10000,240000,250191000,1042,0
add-yield-c,12,10000,240000,140102000,583,0
add-yield-s,12,1000,24000,265298000,11054,0
add-m,1,10000,20000,668000,33,0
add-c,1,10000,20000,409000,20,0
add-s,1,10000,20000,345000,17,0
add-m,2,10000,40000,-871862000,-21796,0
add-c,2,10000,40000,3013000,75,0
add-s,2,10000,40000,3857000,96,0
add-m,4,10000,80000,452503000,5656,0
add-c,4,10000,80000,8429000,105,0
add-s,4,10000,80000,17081000,213,0
add-m,8,10000,160000,-162342000,-1014,0
add-c,8,10000,160000,21512000,134,0
add-s,8,10000,160000,60021000,375,0
add-m,12,10000,240000,377949000,1574,0
add-c,12,10000,240000,18103000,75,0
add-s,12,10000,240000,-871089000,-3629,0
add-none,1,100,200,105000,525,0
add-none,1,1000,2000,118000,59,0
add-none,1,10000,20000,225000,11,0
add-none,1,100000,200000,1213000,6,0
add-none,2,100,400,129000,322,0
add-none,2,1000,4000,145000,36,0
add-none,2,10000,40000,815000,20,4982
add-none,2,100000,400000,6649000,16,2084
add-none,4,100,800,143000,178,0
add-none,4,1000,8000,228000,28,-361
add-none,4,10000,80000,1368000,17,-11138
add-none,4,100000,800000,14436000,18,-36978
add-none,8,100,1600,350000,218,0
add-none,8,1000,16000,422000,26,-922
add-none,8,10000,160000,3257000,20,-2063
add-none,8,100000,1600000,28508000,17,-52776
add-none,12,100,2400,349000,145,0
add-none,12,1000,24000,541000,22,380
add-none,12,10000,240000,4257000,17,-6811
add-none,12,100000,2400000,42763000,17,-45691
add-yield-none,2,10,40,147000,3675,0
add-yield-none,2,20,80,146000,1825,0
add-yield-none,2,40,160,164000,1025,-1
add-yield-none,2,80,320,225000,703,0
add-yield-none,2,100,400,299000,747,-4
add-yield-none,2,1000,4000,1845000,461,41
add-yield-none,2,10000,40000,12872000,321,-7
add-yield-none,2,100000,400000,127073000,317,254
add-yield-none,4,10,80,189000,2362,2
add-yield-none,4,20,160,276000,1725,0
add-yield-none,4,40,320,301000,940,-5
add-yield-none,4,80,640,320000,500,-8
add-yield-none,4,100,800,337000,421,-11
add-yield-none,4,1000,8000,1770000,221,-55
add-yield-none,4,10000,80000,22068000,275,-203
add-yield-none,4,100000,800000,-808886000,-1011,-1083
add-yield-none,8,10,160,366000,2287,4
add-yield-none,8,20,320,578000,1806,-3
add-yield-none,8,40,640,739000,1154,-3
add-yield-none,8,80,1280,1392000,1087,-3
add-yield-none,8,100,1600,1576000,985,-6
add-yield-none,8,1000,16000,13913000,869,-7
add-yield-none,8,10000,160000,136888000,855,-34
add-yield-none,8,100000,1600000,393906000,246,-350
add-yield-none,12,10,240,772000,3216,1
add-yield-none,12,20,480,729000,1518,8
add-yield-none,12,40,960,1139000,1186,4
add-yield-none,12,80,1920,1998000,1040,6
add-yield-none,12,100,2400,2297000,957,10
